"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\Workshop.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 2, 95
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\announcementModel.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\bazaarModel.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\boothModel.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\courtBookingModel.js", "JavaScript", 0, 98, 0, 0, 0, 0, 2, 5, 105
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\courtModel.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\eventModel.js", "JavaScript", 0, 156, 0, 0, 0, 0, 10, 8, 174
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\gymRegistrationModel.js", "JavaScript", 0, 29, 0, 0, 0, 0, 1, 5, 35
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\gymSessionModel.js", "JavaScript", 0, 64, 0, 0, 0, 0, 1, 3, 68
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\notificationModel.js", "JavaScript", 0, 56, 0, 0, 0, 0, 1, 5, 62
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\paymentModel.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\registrationModel.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\studentRegistrationModel.js", "JavaScript", 0, 50, 0, 0, 0, 0, 2, 4, 56
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\tripModel.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\userModel.js", "JavaScript", 0, 171, 0, 0, 0, 0, 17, 8, 196
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\models\vendorLoyaltyProgramModel.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 5, 36
